pid,road,sidewalk,building,wall,fence,pole,traffic_light,traffic_sign,vegetation,terrain,sky,person,rider,car,truck,bus,train,motorcycle,bicycle
"121.45647490000,25.00440910040",0.0934185791015625,0.0,0.637620849609375,0.059962158203125,0.0067138671875,0.017197265625,0.0,0.001529541015625,0.17385986328125,9.58251953125e-05,0.00666259765625,0.0005419921875,0.0003045654296875,0.0014752197265625,0.0,0.0,0.0,0.0,0.00061767578125
"121.45647840000,25.01696019990",0.3190716552734375,0.0285369873046875,0.47156005859375,0.0,0.0001580810546875,0.0042138671875,0.0001422119140625,0.0044183349609375,0.0040447998046875,6.04248046875e-05,0.1043023681640625,0.00285888671875,0.0016015625,0.049771728515625,0.00013671875,0.0,0.0,0.0082000732421875,0.0009222412109375
"121.45648580000,25.01193940000",0.3869647216796875,0.042938232421875,0.1959112548828125,0.000592041015625,0.007027587890625,0.004866943359375,1.03759765625e-05,0.00127685546875,0.1229486083984375,0.0016436767578125,0.2091632080078125,0.0001708984375,0.0,0.0053985595703125,0.0,0.0210693359375,0.0,0.0,1.77001953125e-05
"121.45648780000,25.00424989970",0.172310791015625,0.006505126953125,0.6344580078125,0.001932373046875,0.010382080078125,0.0079412841796875,3.0517578125e-05,0.0040081787109375,0.0594183349609375,0.0040240478515625,0.04318115234375,0.0046734619140625,0.0,0.0433319091796875,0.0,0.0,0.0031732177734375,0.001661376953125,0.0029681396484375
"121.45649000000,25.01473030030",0.068319091796875,0.0008880615234375,0.8797137451171875,0.0053070068359375,0.0031756591796875,0.0045135498046875,1.15966796875e-05,0.0020233154296875,0.0107373046875,4.57763671875e-05,0.0,0.011849365234375,0.000244140625,0.01007080078125,3.0517578125e-06,0.0,2.86865234375e-05,0.0005999755859375,0.0024688720703125
"121.45649330000,25.00536430000",0.3283648681640625,0.030703125,0.387576904296875,0.0,0.0124908447265625,0.014798583984375,0.000843505859375,0.006922607421875,0.0129815673828125,0.0004022216796875,0.1651177978515625,0.0016943359375,0.0005120849609375,0.0198150634765625,2.44140625e-06,0.0,0.0003912353515625,0.007532958984375,0.009849853515625
"121.45649500000,25.01193170000",0.3869647216796875,0.042938232421875,0.1959112548828125,0.000592041015625,0.007027587890625,0.004866943359375,1.03759765625e-05,0.00127685546875,0.1229486083984375,0.0016436767578125,0.2091632080078125,0.0001708984375,0.0,0.0053985595703125,0.0,0.0210693359375,0.0,0.0,1.77001953125e-05
"121.45650405000,25.00389429970",0.0904217529296875,0.0038055419921875,0.742938232421875,0.0004754638671875,0.00408935546875,0.0015167236328125,0.0,0.001064453125,0.037227783203125,2.44140625e-06,0.010965576171875,0.000721435546875,0.0,0.0198858642578125,0.0,0.0,1.220703125e-06,0.0815179443359375,0.0053662109375
"121.45650740000,25.00542139980",0.2978631591796875,0.02722412109375,0.501363525390625,0.0009405517578125,0.0029864501953125,0.00240478515625,0.0006317138671875,0.004068603515625,0.0044744873046875,0.000928955078125,0.104642333984375,0.0062969970703125,0.0001544189453125,0.0081451416015625,0.0,0.0,0.0004510498046875,0.0305047607421875,0.0069189453125
"121.45651000000,25.00851979980",0.1720855712890625,0.025318603515625,0.6322821044921875,0.0,0.0019525146484375,0.0019708251953125,1.220703125e-05,0.0009088134765625,0.019488525390625,1.89208984375e-05,0.00728271484375,0.02177001953125,3.2958984375e-05,0.0988409423828125,0.0,0.0,0.0,0.014698486328125,0.0033367919921875
"121.45651340000,25.00532349960",0.3283648681640625,0.030703125,0.387576904296875,0.0,0.0124908447265625,0.014798583984375,0.000843505859375,0.006922607421875,0.0129815673828125,0.0004022216796875,0.1651177978515625,0.0016943359375,0.0005120849609375,0.0198150634765625,2.44140625e-06,0.0,0.0003912353515625,0.007532958984375,0.009849853515625
"121.45651840000,25.01196569980",0.3869647216796875,0.042938232421875,0.1959112548828125,0.000592041015625,0.007027587890625,0.004866943359375,1.03759765625e-05,0.00127685546875,0.1229486083984375,0.0016436767578125,0.2091632080078125,0.0001708984375,0.0,0.0053985595703125,0.0,0.0210693359375,0.0,0.0,1.77001953125e-05
